test,method,run,history_tokens_estimate,correct,response_time,total_time,prompt_tokens,output_tokens,total_tokens,answer
Multiple Numbers,full_history,2,39,False,1.0081,1.0081,119,13,132,"You have 32 GB of RAM! 😉 
"
Multiple Numbers,full_history,3,39,False,0.9336,0.9336,119,13,132,"You have 32 GB of RAM! 😉 
"
Entity Association,summary,1,63,True,0.843,3.1175,259,42,301,John is working on the database migration.
Entity Association,summary,2,63,True,0.6661,2.7034,259,42,301,John is working on the database migration.
Entity Association,summary,3,63,True,0.6533,2.7711,259,42,301,John is working on the database migration.
Entity Association,user_only,1,63,True,0.8628,0.8628,105,9,114,John is working on the database migration.
Entity Association,user_only,2,63,True,0.6403,0.6403,105,9,114,John is working on the database migration.
Entity Association,user_only,3,63,True,0.6559,0.6559,105,9,114,John is working on the database migration.
Entity Association,user_only_summary,1,63,True,0.8019,2.7004,240,36,276,John is working on the database migration.
Entity Association,user_only_summary,2,63,True,0.6566,2.3704,240,36,276,John is working on the database migration.
Entity Association,user_only_summary,3,63,True,0.6734,2.4629,240,36,276,John is working on the database migration.
Entity Association,full_history,1,63,True,1.7436,1.7436,134,24,158,"John is working on the database migration! 😊 

Just confirming – you were asking who was handling that task."
Entity Association,full_history,2,63,True,1.679,1.679,134,24,158,"John is working on the database migration! 😊 

Just confirming – you’ve already established that. 
"
Entity Association,full_history,3,63,True,0.904,0.904,134,12,146,"John is working on the database migration! 😊 
"
Delayed Recall,summary,1,79,True,1.1106,4.2244,288,59,347,You asked me to remember code **7391**. 😉
Delayed Recall,summary,2,79,True,0.9977,3.7255,288,59,347,You asked me to remember code **7391**. 😉
Delayed Recall,summary,3,79,True,1.2832,4.4649,288,61,349,"You asked me to remember code **7391**. 😉 
"
Delayed Recall,user_only,1,79,True,1.2295,1.2295,111,15,126,You asked me to remember the code 7391! 😊
Delayed Recall,user_only,2,79,True,1.0146,1.0146,111,15,126,You asked me to remember the code 7391! 😊
Delayed Recall,user_only,3,79,True,1.0275,1.0275,111,15,126,You asked me to remember the code 7391! 😊
Delayed Recall,user_only_summary,1,79,True,1.1035,3.1922,248,43,291,You asked me to remember code 7391! 😉
Delayed Recall,user_only_summary,2,79,True,0.939,2.8395,248,43,291,You asked me to remember code 7391! 😉
Delayed Recall,user_only_summary,3,79,True,0.9516,2.7582,248,43,291,You asked me to remember code 7391! 😉
Delayed Recall,full_history,1,79,True,1.2927,1.2927,151,14,165,You asked me to remember the code 7391.
Delayed Recall,full_history,2,79,True,0.9089,0.9089,151,14,165,You asked me to remember the code 7391.
Delayed Recall,full_history,3,79,True,0.9839,0.9839,151,14,165,You asked me to remember the code 7391.
Operating System,summary,1,46,True,1.3963,3.0169,228,38,266,You use Fedora Linux! I’ve got that down from our previous chat. 😉 
Operating System,summary,2,46,True,1.0584,2.2757,228,35,263,You use Fedora Linux! I remembered that from our previous chat. 😊 
Operating System,summary,3,46,True,1.2989,2.5572,228,37,265,You use Fedora Linux! I’ve got that down from our previous chat. 😊
Operating System,user_only,1,46,True,0.81,0.81,101,9,110,You use Fedora Linux on your laptop!
Operating System,user_only,2,46,True,0.6581,0.6581,101,10,111,You use Fedora Linux on your laptop! 😊
Operating System,user_only,3,46,True,0.6515,0.6515,101,10,111,You use Fedora Linux on your laptop! 😊
Operating System,user_only_summary,1,46,True,0.8369,2.037,225,26,251,You use Fedora Linux on your laptop! 😊
Operating System,user_only_summary,2,46,True,0.8571,1.9227,226,27,253,You use Fedora Linux on your laptop! 😊
Operating System,user_only_summary,3,46,True,0.8597,1.8733,225,26,251,You use Fedora Linux on your laptop! 😊
Operating System,full_history,1,46,True,1.7852,1.7852,111,27,138,"You use Fedora Linux on your laptop! 😉 

Just wanted to double-check, as you mentioned it earlier. 
"
Operating System,full_history,2,46,True,1.4127,1.4127,111,23,134,"You use Fedora Linux on your laptop! 😉 

Just confirming, as you mentioned it earlier. 
"
Operating System,full_history,3,46,True,1.6873,1.6873,111,27,138,"You use Fedora Linux on your laptop! 😉 

Just wanted to double-check, as you mentioned it earlier. 
"
Long Context Recall,summary,1,311,True,2.0392,13.1128,603,212,815,"Oh, it’s still Rust for me! You’ve mentioned it a few times – it’s a fantastic choice. 😉 "
Long Context Recall,summary,2,311,True,2.2851,12.7824,597,208,805,"Oh, it’s delightfully simple! My favorite programming language is Rust. I’ve told you that before, haven’t I? 😉 "
Long Context Recall,summary,3,311,True,1.8277,12.4527,599,203,802,"Oh, it’s delightfully simple! You’ve mentioned before that your favorite programming language is Rust. 😉 "
Long Context Recall,user_only,1,311,True,1.1975,1.1975,171,15,186,"Based on our conversation, your favorite programming language is Rust! 😊 "
Long Context Recall,user_only,2,311,True,0.9579,0.9579,171,15,186,"Based on our conversation, your favorite programming language is Rust! 😄 "
Long Context Recall,user_only,3,311,True,0.9714,0.9714,171,15,186,"Based on our conversation, your favorite programming language is Rust! 😊 "
Long Context Recall,user_only_summary,1,311,True,1.4797,4.8821,332,74,406,"Oh, that’s easy! It’s Rust. I find it absolutely fascinating. 😉 "
Long Context Recall,user_only_summary,2,311,True,1.3246,4.5044,332,74,406,"Oh, that’s easy! It’s Rust. I find it absolutely fascinating. 😊 "
Long Context Recall,user_only_summary,3,311,True,1.3424,4.6255,332,74,406,"Oh, that’s easy! It’s Rust. I find it absolutely fascinating. 😊 "
Long Context Recall,full_history,1,311,True,2.5978,2.5978,376,37,413,"Based on our conversation, your favorite programming language is Rust! 

You’ve been quite the enthusiast about it – from explaining how neural networks learn to asking about database indexes!"
Long Context Recall,full_history,2,311,True,0.7792,0.7792,376,10,386,You said your favorite programming language is Rust!
Long Context Recall,full_history,3,311,True,0.8531,0.8531,376,12,388,You said your favorite programming language is Rust! 😊 
Long Context Numerical Recall,summary,1,459,True,1.3694,12.3698,728,191,919,"According to our notes, your project currently has 137 tests!"
Long Context Numerical Recall,summary,2,459,True,1.244,12.6152,732,191,923,"Currently, your project has 137 tests!"
Long Context Numerical Recall,summary,3,459,True,1.4417,12.0755,726,189,915,"According to our notes, your project currently has 137 tests!"
Long Context Numerical Recall,user_only,1,459,True,1.2771,1.2771,219,16,235,"Based on our conversation, your project currently has 137 tests!"
Long Context Numerical Recall,user_only,2,459,True,1.0781,1.0781,219,17,236,"Based on your previous statement, your project currently has 137 tests!"
Long Context Numerical Recall,user_only,3,459,True,1.068,1.068,219,16,235,"Based on our conversation, your project currently has 137 tests!"
Long Context Numerical Recall,user_only_summary,1,459,True,1.2842,7.0138,417,106,523,"According to our project notes, you currently have 137 tests!"
Long Context Numerical Recall,user_only_summary,2,459,True,1.3395,6.561,413,103,516,"According to your memory, your project currently has 137 tests! 😊"
Long Context Numerical Recall,user_only_summary,3,459,True,1.1951,6.9407,413,104,517,"According to your memory, your project currently has 137 tests! 😊 "
Long Context Numerical Recall,full_history,1,459,True,1.7319,1.7319,539,11,550,Your project currently has 137 tests!
Long Context Numerical Recall,full_history,2,459,True,0.9772,0.9772,539,11,550,Your project currently has 137 tests.
Long Context Numerical Recall,full_history,3,459,True,0.9669,0.9669,539,11,550,Your project currently has 137 tests.
Long Context Entity Recall,summary,1,466,True,0.9563,12.1477,727,188,915,John is responsible for the database migration.
Long Context Entity Recall,summary,2,466,True,0.8264,11.5608,727,188,915,John is responsible for the database migration.
Long Context Entity Recall,summary,3,466,True,0.7891,11.4244,727,188,915,John is responsible for the database migration.
Long Context Entity Recall,user_only,1,466,True,0.9379,0.9379,216,9,225,John is responsible for the database migration.
Long Context Entity Recall,user_only,2,466,True,0.6246,0.6246,216,9,225,John is responsible for the database migration.
Long Context Entity Recall,user_only,3,466,True,0.6185,0.6185,216,9,225,John is responsible for the database migration.
Long Context Entity Recall,user_only_summary,1,466,True,0.8512,7.1685,428,113,541,John is responsible for the database migration.
Long Context Entity Recall,user_only_summary,2,466,True,0.6622,6.7494,428,113,541,John is responsible for the database migration.
Long Context Entity Recall,user_only_summary,3,466,True,0.677,6.7497,428,113,541,John is responsible for the database migration.
Long Context Entity Recall,full_history,1,466,True,1.4963,1.4963,534,9,543,John is responsible for the database migration.
Long Context Entity Recall,full_history,2,466,True,0.7028,0.7028,534,9,543,John is responsible for the database migration.
Long Context Entity Recall,full_history,3,466,True,0.709,0.709,534,9,543,John is responsible for the database migration.
